HJD	Mag	Band
2459740.37866 	-1.976 	R
2459740.38138 	-1.962 	R
2459740.38409 	-1.952 	R
2459740.38679 	-1.926 	R
2459740.38951 	-1.942 	R
2459740.39223 	-1.916 	R
2459740.39494 	-1.888 	R
2459740.40633 	-1.821 	R
2459740.40905 	-1.814 	R
2459740.41176 	-1.758 	R
2459740.41447 	-1.718 	R
2459740.41719 	-1.735 	R
2459740.41989 	-1.707 	R
2459740.42261 	-1.689 	R
2459740.42532 	-1.660 	R
2459740.42803 	-1.682 	R
2459740.43075 	-1.663 	R
2459740.43346 	-1.679 	R
2459740.43618 	-1.680 	R
2459740.43889 	-1.664 	R
2459740.44161 	-1.697 	R
2459740.44433 	-1.670 	R
2459740.44704 	-1.669 	R
2459740.44976 	-1.672 	R
2459740.45246 	-1.681 	R
2459740.45789 	-1.713 	R
2459740.46060 	-1.741 	R
2459740.46332 	-1.751 	R
2459740.46603 	-1.762 	R
2459740.46874 	-1.783 	R
2459740.47146 	-1.832 	R
2459740.47416 	-1.817 	R
2459744.17348 	-1.958 	R
2459744.17759 	-1.939 	R
2459744.18169 	-1.926 	R
2459744.18580 	-1.922 	R
2459744.18992 	-1.898 	R
2459744.19402 	-1.885 	R
2459744.19814 	-1.874 	R
2459744.20225 	-1.844 	R
2459744.20635 	-1.810 	R
2459744.21046 	-1.783 	R
2459744.21456 	-1.755 	R
2459744.21867 	-1.721 	R
2459744.22278 	-1.690 	R
2459744.22689 	-1.676 	R
2459744.23099 	-1.664 	R
2459744.23510 	-1.655 	R
2459744.23920 	-1.657 	R
2459744.24331 	-1.663 	R
2459744.24741 	-1.650 	R
2459744.25152 	-1.667 	R
2459744.25563 	-1.660 	R
2459744.25974 	-1.671 	R
2459744.26383 	-1.701 	R
2459744.26794 	-1.737 	R
2459744.27205 	-1.770 	R
2459744.27616 	-1.802 	R
2459744.28027 	-1.836 	R
2459744.28436 	-1.863 	R
2459744.28847 	-1.888 	R
2459744.29258 	-1.920 	R
2459744.29669 	-1.935 	R
2459744.30079 	-1.952 	R
2459744.30490 	-1.964 	R
2459744.30901 	-1.978 	R
2459744.31311 	-1.984 	R
2459744.31721 	-2.003 	R
2459744.32132 	-2.026 	R
2459744.32940 	-2.029 	R
2459744.33351 	-2.035 	R
2459744.33762 	-2.049 	R
2459744.34171 	-2.060 	R
2459744.34582 	-2.062 	R
2459744.34993 	-2.051 	R
2459744.35404 	-2.039 	R
2459744.35814 	-2.033 	R
2459744.36224 	-2.039 	R
2459744.36635 	-2.005 	R
2459744.37045 	-1.998 	R
2459744.37456 	-1.958 	R
2459744.37867 	-1.939 	R
2459744.38454 	-1.924 	R
2459744.38864 	-1.892 	R
2459744.39274 	-1.875 	R
2459744.39685 	-1.830 	R
2459744.40096 	-1.796 	R
2459744.40507 	-1.780 	R
2459744.41004 	-1.749 	R
2459744.41415 	-1.708 	R
2459744.41826 	-1.664 	R
2459744.42236 	-1.634 	R
2459744.42647 	-1.614 	R
2459744.43058 	-1.639 	R
2459744.43468 	-1.639 	R
2459744.43878 	-1.660 	R
2459744.44289 	-1.657 	R
2459744.44950 	-1.653 	R
2459744.45361 	-1.713 	R
2459744.45770 	-1.740 	R
2459744.46181 	-1.770 	R
2459744.46592 	-1.796 	R
2459740.19048 	-1.763 	I
2459740.19320 	-1.746 	I
2459740.19591 	-1.725 	I
2459740.19863 	-1.726 	I
2459740.20135 	-1.707 	I
2459740.20406 	-1.695 	I
2459740.20678 	-1.669 	I
2459740.20948 	-1.663 	I
2459740.21220 	-1.641 	I
2459740.21491 	-1.605 	I
2459740.21762 	-1.592 	I
2459740.22034 	-1.585 	I
2459740.22305 	-1.567 	I
2459740.22577 	-1.550 	I
2459740.22848 	-1.502 	I
2459740.23120 	-1.504 	I
2459740.23391 	-1.494 	I
2459740.23663 	-1.491 	I
2459740.23933 	-1.499 	I
2459740.24205 	-1.492 	I
2459740.24476 	-1.483 	I
2459740.25020 	-1.502 	I
2459740.25291 	-1.511 	I
2459740.25563 	-1.490 	I
2459740.25834 	-1.494 	I
2459740.26235 	-1.490 	I
2459740.26506 	-1.512 	I
2459740.26778 	-1.531 	I
2459740.27049 	-1.564 	I
2459740.27321 	-1.570 	I
2459740.27592 	-1.616 	I
2459740.27864 	-1.625 	I
2459740.28135 	-1.645 	I
2459740.28407 	-1.678 	I
2459740.28677 	-1.684 	I
2459740.28949 	-1.720 	I
2459740.29220 	-1.713 	I
2459740.29492 	-1.742 	I
2459740.29763 	-1.748 	I
2459740.30034 	-1.775 	I
2459740.30306 	-1.758 	I
2459740.30578 	-1.791 	I
2459740.30849 	-1.798 	I
2459740.31121 	-1.829 	I
2459740.31391 	-1.832 	I
2459740.31663 	-1.825 	I
2459740.31935 	-1.844 	I
2459740.32207 	-1.832 	I
2459740.32478 	-1.842 	I
2459740.32750 	-1.874 	I
2459740.33021 	-1.871 	I
2459740.33292 	-1.875 	I
2459740.33564 	-1.883 	I
2459740.33836 	-1.873 	I
2459740.34107 	-1.882 	I
2459740.34379 	-1.884 	I
2459740.34649 	-1.866 	I
2459740.34921 	-1.874 	I
2459740.35192 	-1.861 	I
2459740.35464 	-1.846 	I
